GSM2477652	e1036
GSM2477653	e1048
GSM2477654	e1059
GSM2477655	e1044
GSM2477656	e1026
GSM2477657	e1051
GSM2477658	e1041
GSM2477659	e1037
GSM2477660	e1007
GSM2477661	e1045
GSM2477662	e1043
GSM2477663	e1047
GSM2477664	e1029
GSM2477665	e1046
GSM2477666	e1008
GSM2477667	e1019
GSM2477668	e1033
GSM2477669	e1017
GSM2477670	e1049
GSM2477671	e1034
GSM2477672	e1061
GSM2477673	e1015
GSM2477674	e1004
GSM2477675	e1024
GSM2477676	e1039
GSM2477677	e1014
GSM2477678	e1003
GSM2477679	e1001
GSM2477680	e1052
GSM2477681	e1038
GSM2477682	e1020
GSM2477683	e1042
GSM2477684	e1060
GSM2477685	e1054
GSM2477686	e1023
GSM2477687	e1063
GSM2477688	e1062
GSM2477689	e1005
GSM2477690	e1010
GSM2477691	e1055
GSM2477692	e1050
GSM2477693	e1027
GSM2477694	e1006
GSM2477695	e1011
GSM2477696	e1013
GSM2477697	e1030
GSM2477698	e1009
GSM2477699	e1012
GSM2477700	e1040
GSM2477701	e1002
GSM2477702	e1053
GSM2477703	e1032
GSM2477704	e1058
GSM2477705	e1016
GSM2477706	e1056
GSM2477707	e1057
GSM2477708	e1035
GSM2477709	e1031
GSM2477710	e1022
GSM2477711	e1021
GSM2477712	50217
GSM2477713	80675
GSM2477714	2317
GSM2477715	2601
GSM2477716	81063
GSM2477717	80627
GSM2477718	81099
GSM2477719	2110
GSM2477720	2555
GSM2477721	1809
GSM2477722	81043
GSM2477723	80091
GSM2477724	2392
GSM2477725	81065
GSM2477726	80858
GSM2477727	80098
GSM2477728	2082
GSM2477729	2622
GSM2477730	1446
GSM2477731	527
GSM2477732	1247
GSM2477733	81123
GSM2477734	80358
GSM2477735	2572
GSM2477736	80357
GSM2477737	81120
GSM2477738	80292
GSM2477739	50096
GSM2477740	50831
GSM2477741	1478
GSM2477742	81102
GSM2477743	80633
GSM2477744	2224
GSM2477745	50247
GSM2477746	2579
GSM2477747	2187
GSM2477748	80254
GSM2477749	50145
GSM2477750	80014
GSM2477751	1863
GSM2477752	81203
GSM2477753	50067
GSM2477754	80704
GSM2477755	80398
GSM2477756	81034
GSM2477757	50078
GSM2477758	80556
GSM2477759	81118
GSM2477760	80840
GSM2477761	80872
GSM2477762	80280
GSM2477763	50782
GSM2477764	80504
GSM2477765	80953
GSM2477766	80453
GSM2477767	81195
GSM2477768	80703
GSM2477769	81131
GSM2477770	81106
GSM2477771	80263
GSM2477772	2320
GSM2477773	80285
GSM2477774	1789
GSM2477775	80250
GSM2477776	80542
GSM2477777	1331
GSM2477778	80301
GSM2477779	1024
GSM2477780	1859
GSM2477781	80876
GSM2477782	2115
GSM2477783	80655
GSM2477784	1108
GSM2477785	81010
GSM2477786	80638
GSM2477787	70088
GSM2477788	81070
GSM2477789	50057
GSM2477790	81196
GSM2477791	1282
GSM2477792	2113
GSM2477793	1286
GSM2477794	50363
GSM2477795	50809
GSM2477796	80999
GSM2477797	2525
GSM2477798	2085
GSM2477799	80593
GSM2477800	80103
GSM2477801	80879
GSM2477802	70159
GSM2477803	81206
GSM2477804	80971
GSM2477805	80751
GSM2477806	1666
GSM2477807	81062
GSM2477808	1608
GSM2477809	50655
GSM2477810	80832
GSM2477811	80261
GSM2477812	80296
GSM2477813	80198
GSM2477814	50509
GSM2477815	2026
GSM2477816	80624
GSM2477817	1229
GSM2477818	2131
GSM2477819	2324
GSM2477820	80938
GSM2477821	2390
GSM2477822	80148
GSM2477823	1487
GSM2477824	81204
GSM2477825	81004
GSM2477826	80476
GSM2477827	80676
GSM2477828	81027
GSM2477829	81176
GSM2477830	80996
GSM2477831	80846
